2020-10-23,WKHS,Workhorse Group Inc.,34.32,+1.22,+3.69%,23194000,16564000,4136999999.9999995
2020-10-23,X,United States Steel Corporation,17.76,-0.97,-5.18%,22643000,15173000,3914000000
2020-10-23,ET,Energy Transfer LP,6.27,-0.14,-2.18%,21996000,24746000,16915000000
2020-10-23,AUY,Yamana Gold Inc.,4.66,-0.0800,-1.69%,22221000,15391000,4486000000
2020-10-23,RKT,"Rocket Companies, Inc.",21.36,+0.05,+0.23%,21610000,11416000,42388000000
2020-10-23,V,Visa Inc.,193.25,-4.97,-2.51%,21503000,8773000,425842000000
2020-10-23,MRO,Marathon Oil Corporation,7.24,-0.32,-4.23%,23930000,31257000,5715000000
2020-10-23,KMI,"Kinder Morgan, Inc.",14.08,-0.35,-2.41%,22208000,18935000,31874000000
2020-10-23,VALE,Vale S.A.,16.15,-0.60,-3.58%,20981000,31896000,82848000000
2020-10-23,BBBY,Bed Bath & Beyond Inc.,35.33,+1.69,+5.02%,21505000,14311000,4283000000.0000005
2020-10-23,OXY,Occidental Petroleum Corporation,20.06,-0.89,-4.25%,19971000,26569000,18680000000
2020-10-23,JNJ,Johnson & Johnson,163.13,-6.03,-3.56%,19900000,8135000,429446000000
2020-10-23,IFF,International Flavors & Fragrances Inc.,112.38,-2.64,-2.30%,19975000,3376000,12018000000
2020-10-23,PBR,Petróleo Brasileiro S.A. - Petrobras,10.05,-0.50,-4.74%,19114000,23551000,65777000000
2020-10-23,APHA,Aphria Inc.,12.18,-0.78,-6.02%,19046000,15003000,3838000000
2020-10-23,BSX,Boston Scientific Corporation,35.44,-0.90,-2.48%,18465000,13378000,50191000000
2020-10-23,KGC,Kinross Gold Corporation,6.98,0.00,0.00%,18781000,17568000,8757000000
2020-10-23,UBER,"Uber Technologies, Inc.",50.93,-0.65,-1.26%,18743000,23479000,94288000000
2020-10-23,RYCEY,Rolls-Royce Holdings plc,1.34,-0.0700,-4.96%,18736000,9984000,11087000000
2020-10-23,PBCT,"People''s United Financial, Inc.",13.66,-0.06,-0.44%,18557000,5468000,5801000000
2020-10-23,HL,Hecla Mining Company,5.69,+0.07,+1.25%,18388000,9283000,3022000000
2020-10-23,FCX,Freeport-McMoRan Inc.,26.91,-0.88,-3.17%,18183000,20497000,39097000000
2020-10-23,DAL,"Delta Air Lines, Inc.",37.96,-2.12,-5.29%,17688000,15010000,24208000000
2020-10-23,MU,"Micron Technology, Inc.",78.27,-0.12,-0.15%,17934000,18081000,87558000000
2020-10-23,SCHW,The Charles Schwab Corporation,51.54,-2.20,-4.09%,17772000,9500000,96848000000
2020-10-23,TWTR,"Twitter, Inc.",50.53,-1.04,-2.02%,17322000,17126000,40189000000
2020-10-23,CVE,Cenovus Energy Inc.,5.91,+0.01,+0.17%,17140000,9187000,11870000000
2020-10-23,KR,The Kroger Co.,34.5,-0.88,-2.49%,17189000,12621000,26266000000
2020-10-23,CSCO,"Cisco Systems, Inc.",44.58,-0.76,-1.68%,21392000,21722000,188373000000
2020-10-23,CLNY,"Colony Capital, Inc.",4.96,+0.0600,+1.22%,10658000,4912000,2393000000
2020-10-23,ZNGA,Zynga Inc.,9.91,+0.06,+0.61%,16727000,25137000,10693000000
2020-10-23,HBAN,Huntington Bancshares Incorporated,13.23,-0.34,-2.54%,26851000,12456000,13452000000
2020-10-23,DISCA,"Discovery, Inc.",41.42,+0.40,+0.98%,16443999.999999998,8196999.999999999,18295000000
2020-10-23,DKNG,DraftKings Inc.,54.11,-2.06,-3.67%,16428999.999999998,18621000,21196000000
2020-10-23,IBN,ICICI Bank Limited,15.1,+0.16,+1.07%,16390999.999999998,8877000,50833000000
2020-10-23,DISCK,"Discovery, Inc.",35.03,+0.11,+0.32%,16058000,3904000,18295000000
2020-10-23,RTX,Raytheon Technologies Corporation,66.73,-1.44,-2.11%,15649000,8058999.999999999,101344000000
2020-10-23,SLB,Schlumberger Limited,22.21,-0.43,-1.90%,15574000,13992000,30924000000
2020-10-23,WDC,Western Digital Corporation,56.43,+3.78,+7.18%,15496000,4799000,17169000000
2020-10-23,CLF,Cleveland-Cliffs Inc.,15.34,-0.69,-4.30%,15027000,12577000,7324000000
2020-10-23,NVT,nVent Electric plc,22.38,-0.47,-2.06%,15235000,1332000,3807000000
2020-10-23,LUMN,"Lumen Technologies, Inc.",12.38,+0.47,+3.95%,19308000,14430000,13582000000
2020-10-23,SNAP,Snap Inc.,52.94,-0.19,-0.36%,15105000,22478000,78880000000
2020-10-23,AMCR,Amcor plc,10.94,-0.24,-2.15%,14137000,5794000,17158999999.999998
2020-10-23,JPM,JPMorgan Chase & Co.,128.67,-1.44,-1.11%,14808000,15189000,392366000000
2020-10-23,BABA,Alibaba Group Holding Limited,253.83,-6.93,-2.66%,14680000,26920000,689024000000
2020-10-23,HPQ,HP Inc.,24.34,-0.53,-2.13%,14667000,9034000,31390000000
2020-10-23,MS,Morgan Stanley,67.05,-2.27,-3.27%,14573000,11725000,121288000000
2020-10-23,TSM,Taiwan Semiconductor Manufacturing Company Limited,121.52,-4.31,-3.43%,14329000,10565000,548424999999.99994
2020-10-23,MDLZ,"Mondelez International, Inc.",55.44,-1.68,-2.94%,14261000,6314000,79288000000
2020-10-23,MAC,The Macerich Company,15.7,-3.31,-17.41%,14148000,7744000,2347000000
2020-10-23,NKLA,Nikola Corporation,23.09,-0.09,-0.39%,14011000,21717000,8869000000
